Location,Description,Listing_Type,Price,Beds,Baths,Toilets,City,Location_Area,Newly Built,Furnished,Serviced,Date_Added,Date_Updated
Bakare Estate Chevron Lekki Lagos, FOR RENT: BRAND NEW WELL SPACED DUPLEX IN A SERENE ENVIRONMENT RENT-4M SC-1.710M CAUT.. Read more ,Rent,4000000.0,3.0,3.0,4.0,Lekki,Island,1.0,0.0,1.0,2023-02-14,2023-02-19
"Phase 2 Estate, Gbagada Lagos", FOR RENT: RELATIVELY NEW 4 BEDROOM DUPLEX!!! FEATURES: A ROOM BQ ALL ROOMS EN-SUITE+ .. Read more ,Rent,5500000.0,4.0,5.0,5.0,Gbagada,Mainland,0.0,0.0,0.0,2023-02-15,2023-02-19
Oregun Ikeja Lagos, FOR RENT: A basic 2 bedroom apartment in a lovely neighborhood/estate in oregun. Minimum o.. Read more ,Rent,1200000.0,2.0,2.0,2.0,Ikeja,Mainland,0.0,0.0,0.0,2023-01-04,2023-02-19
Opebi Ikeja Lagos," FOR RENT: Lovely 2 bedrooms flat in opebi, upstairs. Rent: N1.5m Service charge: N2.. Read more ",Rent,1500000.0,2.0,1.0,1.0,Ikeja,Mainland,1.0,0.0,0.0,2022-12-09,2023-02-19
Ikota Lekki Lagos, FOR RENT: FOR RENT: Luxury 5 Bedroom Detached Duplex with Swimming Pool and Boys Quarter a.. Read more ,Rent,8000000.0,5.0,6.0,7.0,Lekki,Island,1.0,0.0,0.0,2023-02-09,2023-02-19
Opic Estate Isheri North Ojodu Lagos," FOR RENT: TO LET: Tastefully Finished 3 bedroom flat at Opic, isheri North GRA, Lagos. .. Read more ",Rent,1300000.0,3.0,3.0,4.0,Ojodu,Mainland,1.0,0.0,0.0,2023-01-09,2023-02-19
Milverton Court Lekki Lagos," FOR RENT: RENT: Well Finished & Fully Serviced 3 Bedroom Apartment at Milverton Court, Osa.. Read more ",Rent,3500000.0,3.0,3.0,4.0,Lekki,Island,0.0,0.0,1.0,2023-02-08,2023-02-19
"New Oko Oba ,alhaja Kehinde Street .beckley Estate , Alimosho Lagos", FOR RENT: WAREHOUSE FOR LEASE. Direct lease/rent a warehouse on half plot of land with p.. Read more ,Rent,2500000.0,0.0,0.0,0.0,Alimosho,Mainland,0.0,0.0,0.0,2022-09-26,2023-02-19
Alimosho Lagos, FOR RENT: Urgent lease Urgent lease Standard hotel for lease at alimosho area More tha.. Read more ,Rent,15000000.0,0.0,0.0,0.0,Alimosho,Mainland,0.0,0.0,0.0,2022-09-26,2023-02-19
Adeniyi Jones Ikeja Lagos, FOR RENT: FOR LEASE ADENIYI JONES Newly renovated commercial building with 10 rooms offic.. Read more ,Rent,25000000.0,0.0,0.0,0.0,Ikeja,Mainland,0.0,0.0,0.0,2022-07-25,2023-02-19
