Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Osapa London Lekki Lagos,"4,000,000/year","  Updated 16 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Luxury 4 Bedroom duplex available for rent at Osapa Lekki Lagos. Features: A.. Read more,Newly Built,4 beds4 baths5 Toilets
Bakare Estate Chevron Lekki Lagos,"4,000,000/year","  Updated 19 Feb 2023, Added 14 Feb 2023 ", FOR RENT: BRAND NEW WELL SPACED DUPLEX IN A SERENE ENVIRONMENT RENT-4M SC-1.710M CAUT.. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
"Phase 2 Estate, Gbagada Lagos","5,500,000/year","  Updated 19 Feb 2023, Added 15 Feb 2023 ", FOR RENT: RELATIVELY NEW 4 BEDROOM DUPLEX!!! FEATURES: A ROOM BQ ALL ROOMS EN-SUITE+ .. Read more ,,4 beds5 baths5 Toilets
Oregun Ikeja Lagos,"1,200,000/year","  Updated 19 Feb 2023, Added 04 Jan 2023 ", FOR RENT: A basic 2 bedroom apartment in a lovely neighborhood/estate in oregun. Minimum o.. Read more ,,2 beds2 baths2 Toilets
Opebi Ikeja Lagos,"1,500,000/year","  Updated 19 Feb 2023, Added 09 Dec 2022 "," FOR RENT: Lovely 2 bedrooms flat in opebi, upstairs. Rent: N1.5m Service charge: N2.. Read more ",Newly Built,2 beds1 baths1 Toilets
Ikota Lekki Lagos,"8,000,000/year","  Updated 19 Feb 2023, Added 09 Feb 2023 ", FOR RENT: FOR RENT: Luxury 5 Bedroom Detached Duplex with Swimming Pool and Boys Quarter a.. Read more ,Newly Built,5 beds6 baths7 Toilets
Opic Estate Isheri North Ojodu Lagos,"1,300,000/year","  Updated 19 Feb 2023, Added 09 Jan 2023 "," FOR RENT: TO LET: Tastefully Finished 3 bedroom flat at Opic, isheri North GRA, Lagos. .. Read more ",Newly Built,3 beds3 baths4 Toilets
Milverton Court Lekki Lagos,"3,500,000","  Updated 19 Feb 2023, Added 08 Feb 2023 "," FOR RENT: RENT: Well Finished & Fully Serviced 3 Bedroom Apartment at Milverton Court, Osa.. Read more ",Serviced,3 beds3 baths4 Toilets
"New Oko Oba ,alhaja Kehinde Street .beckley Estate , Alimosho Lagos","2,500,000/year","  Updated 19 Feb 2023, Added 26 Sep 2022 ", FOR RENT: WAREHOUSE FOR LEASE. Direct lease/rent a warehouse on half plot of land with p.. Read more ,,0 beds0 baths0 Toilets
Alimosho Lagos,"15,000,000/year","  Updated 19 Feb 2023, Added 26 Sep 2022 ", FOR RENT: Urgent lease Urgent lease Standard hotel for lease at alimosho area More tha.. Read more ,,0 beds0 baths0 Toilets
Beechwood Estate Ajah Lagos,"52,000,000","  Updated 18 Feb 2023, Added 31 Jan 2023 ", FOR SALE: ** Distressed Sale *** We are pleased to present these newly built 4 Bedroom d.. Read more,ServicedNewly Built,4 beds4 baths5 Toilets
Adeniyi Jones Ikeja Lagos,"25,000,000/year","  Updated 19 Feb 2023, Added 25 Jul 2022 ", FOR RENT: FOR LEASE ADENIYI JONES Newly renovated commercial building with 10 rooms offic.. Read more ,,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"10,000,000/year","  Updated 19 Feb 2023, Added 10 Feb 2023 ", FOR RENT: FOR RENT: Well Furnished 4 Bedroom Semi-Detached House with Boys' Quarter at Che.. Read more ,FurnishedNewly Built,4 beds5 baths6 Toilets
Opic Estate Isheri North Ojodu Lagos,"1,200,000/year","  Updated 19 Feb 2023, Added 09 Jan 2023 "," FOR RENT: TO LET: Luxury Finished 2 bedroom flat at Opic, isheri North GRA, Lagos. FEAT.. Read more ",Newly Built,2 beds2 baths3 Toilets
Ogba Lagos,"20,000,000/year","  Updated 19 Feb 2023, Added 26 Sep 2022 "," FOR RENT: New building of 600sqm open space on 2floors, with 2unit inner offices on each f.. Read more ",,0 beds0 baths0 Toilets
