Location,Price_Period,Date_Added_Updated,Description,Serviced
Sangotedo Ajah Lagos,"1,200,000/year","  Updated 07 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Nice standard 2 bedroom flat all rooms ensuite standard wardrobe well-furnished .. Read more ,FurnishedServiced
"Ngozi Irondi Street, Off Kc Emmanuel, Bucknor Isolo Lagos","750,000/year","  Updated 07 Feb 2023, Added 07 Sep 2022 "," FOR RENT: To Let; 2 Bedroom Flat at Ngozi Irondi Street, off Kc Emmanuel, via Fasheun Brid.. Read more ",
Ikota Lekki Lagos,"900,000/year","  Updated 07 Feb 2023, Added 01 Feb 2023 ", FOR RENT: One room self contain with kitchen.. Read more ,
Lekki Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 ", FOR RENT: 3 bedroom Flat / Apartment for rent Lekki Right Lekki Phase 1 Lekki Lagos Re.. Read more ,Serviced
Parkview Banana Island Ikoyi Lagos,"70,000,000/year","  Updated 07 Feb 2023, Added 05 Jan 2023 ", FOR RENT: 8 bedroom fully furnished detached duplex with 3rooms BQ in Banana Island Ikoyi .. Read more ,Serviced
Off Eleganza Lekki Scheme 2 Ajah Lagos,"3,000,000/year","  Updated 07 Feb 2023, Added 29 Jan 2023 "," FOR RENT: Executive 3 Bedroom Apartment To Let @ Lekki Scheme 2, Off Eleganza, Ajah Lagos .. Read more ",
"Chief Natufe Street Off Babs Animashaun Road, Bode Thomas Surulere Lagos","550,000/year","  Updated 07 Feb 2023, Added 05 Sep 2022 ", FOR RENT: A room self contain at chief natufe street off Babs Animashaun road by bode Thom.. Read more ,
Sangotedo Ajah Lagos,"1,500,000/year","  Updated 07 Feb 2023, Added 13 Jan 2023 "," FOR RENT: tastefully finished 2,bedroom on a secured estate in sangotedo rent 1.5m A/A.. Read more ",Newly Built
Spar Road Ikate Elegushi Lekki Lagos,"6,000,000/year","  Updated 07 Feb 2023, Added 23 Jan 2023 ", FOR RENT: *To Let* Fully Furnished 3 Bedroom Apt. Location - Spar Rd Elegushi R.. Read more ,Furnished
Ago Palace Okota Lagos,"1,200,000/year","  Updated 07 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Rent an Executive 3 Bedroom Flat in Liberty estate Ago Palace Okota very decent .. Read more ,
Sanusi Fafunwa Victoria Island Lagos,"1,610,000/year","  Updated 07 Feb 2023, Added 31 Jan 2023 "," FOR RENT: SHOPS FOR RENT IN A MALL AT SANUSI FAFUNWA, VICTORIA ISLAND, LAGOS. Shop at t.. Read more ",
Ilaje Ajah Lagos,"3,500,000/year","  Updated 07 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Units of three bedroom apartments on various floors for rent. Location: Il.. Read more ,Serviced
Chevron Lekki Lagos,"3,000,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Lovely 4 Bedroom Detached Duplex with BQ To Let at Buena vista Estate, Orchid Ro.. Read more ",
Awoyaya Ajah Lagos,"500,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Rent 500k Agency 50k Legal 50 Caution 50.. Read more ,Newly Built
Isah Omale Street . Glorious Estate Badore Badore Ajah Lagos,"1,000,000/year","  Updated 07 Feb 2023, Added 10 Jan 2023 "," FOR RENT: Newly Built 2 Bedroom flat to let at 14 Isah Omale Street, Glorious estate. Off .. Read more ",FurnishedServicedNewly Built
Chevron Lekki Lagos,"1,000,000/year","  Updated 07 Feb 2023, Added 30 Dec 2022 "," FOR RENT: A Mini Flat, A Clean, Nice, Standard apartment, A gated and secured compound, .. Read more ",
Lekki Scheme 2 Ajah Lagos,"3,000,000/year","  Updated 07 Feb 2023, Added 16 Jan 2023 "," FOR RENT: Rent 3m agency 300k, legal 150 .cantion 120, Estate due 250 total 3.820m.. Read more ",Newly Built
Orchid Road Chevron Lekki Lagos,"3,700,000/year","  Updated 07 Feb 2023, Added 29 Jan 2023 "," FOR RENT: Executive 3 Bedroom Apartment To Let @ Orchid Road, Chevron, Lekki Lagos State N.. Read more ",
Oregun Ikeja Lagos,"4,000,000/year","  Updated 07 Feb 2023, Added 27 Jan 2023 ", FOR RENT: To Let Lovely and spacious 3 bedrooms flat in an Estate at Oregun Ikeja. R.. Read more ,ServicedNewly Built
Bode Thomas Surulere Lagos,"1,200,000/year","  Updated 07 Feb 2023, Added 08 Sep 2022 ", FOR RENT: JUST OUT: 2 bedrooms with 1toilet 1bathroom first floor located in games village.. Read more ,
Ogudu Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Ogudu gra letting A renovated 3 bedroom bungalow (self compound) with a room bq.. Read more ,
Ikate Lekki Lagos,"7,000,000/year","  Updated 07 Feb 2023, Added 03 Feb 2023 ", FOR RENT: For Rent: 3 bedroom Flat Location: Ikate Rent: 7 million Agency:10% Legal:.. Read more ,ServicedNewly Built
Ikate Lekki Lagos,"5,000,000/year","  Updated 07 Feb 2023, Added 03 Feb 2023 ", FOR RENT: 4 bedroom House for rent Ikate Ikate Lekki Lagos.. Read more ,Serviced
Lekki Lagos,"6,500,000/year","  Updated 07 Feb 2023, Added 20 Jan 2023 ", FOR RENT: Fully serviced 3 bedroom flat with a room BQ with 24hrs supply in lekki phas.. Read more ,
Phase 2 Gbagada Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 30 Jan 2023 ", FOR RENT: standard 4 bedroom semi-detached Duplex with modern Facility in a serene environ.. Read more ,Furnished
Estate Magodo Gra Phase 1 Ojodu Lagos,"1,500,000/year","  Updated 07 Feb 2023, Added 25 Jan 2023 ", FOR RENT: 2 bedroom Flat / Apartment for rent Estate Magodo GRA Phase 1 Ojodu Lagos.. Read more ,
Agungi Lekki Lagos,"3,000,000/year","  Updated 07 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Rent 3m Service charge 700k per annum Power is pay as u use Generator- 12 .. Read more ,ServicedNewly Built
Off Oyatogun Okeira Oke Ira Ogba Lagos,"600,000/year","  Updated 07 Feb 2023, Added 23 Jan 2023 ", FOR RENT: Spacious parlor and well ventilated rooms s. Situated on a tarred but sloping st.. Read more ,
"By Freedom Way, Lekki Phase 1 Lekki Phase 1 Lekki Lagos","100,000,000","  Updated 19 Feb 2023, Added 21 Oct 2022 "," FOR SALE: THE CELLO Luxury 3 Bedroom Apartments, Rooftop Lounge and Gymnasium, Elevator, .. Read more",Serviced
Oniru Victoria Island Lagos,"10,000,000/year","  Updated 07 Feb 2023, Added 22 Dec 2022 ", FOR RENT: FOR RENT 4 BEDROOM TERRACE DUPLEX WITH ONE BQ in a very secure and serene est.. Read more ,
Banana Island Ikoyi Lagos,"10,000,000/year","  Updated 07 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Furnished 3bedroom flat with bq Rent- N10m Service Charge-3.5m Caution- N500k.. Read more ,
Shangisha Kosofe Ikosi Lagos,"1,000,000/year","  Updated 07 Feb 2023, Added 09 Nov 2022 ", FOR RENT: Mini Flat available for rent in Shangisha two toilets 1m pa annum.. Read more ,
Arida Governors Road Ikotun Igando Lagos,"700,000/year","  Updated 07 Feb 2023, Added 07 Oct 2022 ", FOR RENT: Newly built 2bedrooms. All round POP. Good location... Read more ,Newly Built
Awolowo Way Ikeja Lagos,"50,000/sqm","  Updated 07 Feb 2023, Added 17 Jan 2023 "," FOR RENT: *For letting/ leasing 255sqm of open plan space on ground floor, directly on Ob.. Read more ",
Agungi Lekki Lagos,"3,500,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: 3 bedroom Flat / Apartment for rent Milverton Estate chevron Lekki Lagos.. Read more ,Serviced
Lbs Ibeju Lekki Lagos,"2,500,000/year","  Updated 07 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Description: 2 units of a brand new 4-bedroom duplex in a well-secured estate wi.. Read more ,ServicedNewly Built
Akoka Yaba Lagos,"6,500,000/year","  Updated 07 Feb 2023, Added 03 Feb 2023 "," FOR RENT: Right here in the heart of Yaba, Akoka is a new building project where you can g.. Read more ",
Lawanson Surulere Lagos,"700,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Newly built 1 bedroom flat with 2toilet 2bath, personal balcony, prepaid meter i.. Read more ",Newly Built
Shangisha Kosofe Ikosi Lagos,"550,000/year","  Updated 07 Feb 2023, Added 09 Nov 2022 "," FOR RENT: Room self contain same house 550,000.. Read more ",
Agungi Lekki Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Three bedroom Semi detached duplexes with bq Rent - *N4.5 million per ann.. Read more ,ServicedNewly Built
Off Admiralty Way Lekki Phase 1 Lekki Lagos Lekki Lagos,"3,000,000/year","  Updated 07 Feb 2023, Added 13 Jan 2023 ", FOR RENT: Restaurant Space at Lekki phase 1 Lekki Lagos Rent:3m.. Read more ,Serviced
Cmd Road Kosofe Ikosi Lagos,"7,500,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: 4 bedrooms Duplex en-suite + 2 room boys quarters + 1 room security house Lo.. Read more ,
Agungi Lekki Lagos,"1,400,000/year","  Updated 07 Feb 2023, Added 17 Jan 2023 "," FOR RENT: A Room Self Contain (SHARED KITCHEN) A Master bedroom of a duplex. A clean, n.. Read more ",
Lawanson Surulere Lagos,"650,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Swiftly built 1 bedroom flat upstairs with 1toilet 1bath in a block of flats eas.. Read more ,Newly Built
Sangotedo Ajah Lagos,"1,200,000/year","  Updated 07 Feb 2023, Added 17 Jan 2023 "," FOR RENT: this is 2 bedroom flat at Sangotedo, Majek opposite fara park rent 1,2m Agency .. Read more ",ServicedNewly Built
Bariga Shomolu Lagos,"400,000/year","  Updated 07 Feb 2023, Added 23 Sep 2022 "," FOR RENT: *Direct Brief 18 Units newly built room self contain with Pop, screeded wall.. Read more ",Newly Built
Parkview Estate Ikoyi Lagos,"12,000,000/year","  Updated 07 Feb 2023, Added 20 Jan 2023 ", FOR RENT: Standard 3 bedroom flat at Parkview Estate ikoyi very nice .. Read more ,
Sunshine Garden Estate Sangotedo Ajah Lagos,"1,700,000/year","  Updated 07 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Nice Standard 2 bedroom Flat all rooms ensuite well furniture standard wardrobes.. Read more ,FurnishedServiced
Parkview Estate Ikoyi Lagos,"1,800,000,000","  Updated 19 Feb 2023, Added 14 Dec 2022 "," FOR SALE: This 6 bedroom luxury house is located in the heart of Ikoyi, Lagos. It offers a.. Read more",Serviced
Off Allen Avenue Allen Avenue Ikeja Lagos,"70,000/sqm","  Updated 07 Feb 2023, Added 22 Dec 2022 ", FOR RENT: Newly built serviced 'Grade A' open plan office spaces on 4 floors with the grou.. Read more ,ServicedNewly Built
Sangotedo Ajah Lagos,"2,000,000/year","  Updated 07 Feb 2023, Added 15 Jan 2023 ", FOR RENT: Well maintained 2 bedroom terrace duplex in a nice and secure estate all room en.. Read more ,Newly Built
Ikate Lekki Lagos,"6,500,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: 4 bedroom House for rent Ikate Lekki Lagos.. Read more ,Serviced
Abijo Ajah Lagos,"3,200,000/year","  Updated 07 Feb 2023, Added 03 Feb 2023 ", FOR RENT: It's 4 rooms fully detached duplex with and 1 room bq attached. Rent: N3.2m .. Read more ,Newly Built
Chevron Ext. Agungi Lekki Lagos,"850,000/year","  Updated 07 Feb 2023, Added 30 Dec 2022 "," FOR RENT: A Room Self Contained, A Clean, Nice, Standard apartment, A gated and secured .. Read more ",
Oke Ira Ogba Lagos,"1,000,000/year","  Updated 07 Feb 2023, Added 18 Jan 2023 ", FOR RENT: New apartment with tiles and personal prepaid meter.. Read more ,Newly Built
Agungi Lekki Lagos,"1,300,000/year","  Updated 07 Feb 2023, Added 13 Jan 2023 ", FOR RENT: Nice and Standard Spacious Self Con Share apartment available in a Serene and Se.. Read more ,
Awoyaya Ajah Lagos,"800,000/year","  Updated 07 Feb 2023, Added 17 Jan 2023 ", FOR RENT: Rent 800k Agency 80k Legal 80k Caution 100k.. Read more ,Furnished
Badore Ajah Lagos,"2,000,000/year","  Updated 07 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Brand new standard 3 bedroom flat all rooms ensuite standard wardrobe well-furni.. Read more ,FurnishedServicedNewly Built
Lekki County Homes Ikota Lekki Lagos,"2,000,000/year","  Updated 07 Feb 2023, Added 10 Jan 2023 "," FOR RENT: Rent..N2m Agency…N200k Legal..N200k Service charge N1.5m( cleaning,secu.. Read more ",Serviced
Agungi Lekki Lagos,"800,000/year","  Updated 07 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Nice and Standard Self Contained with kitchen available in a Serene and Secured .. Read more ,
Ologolo Lekki Lagos,"3,200,000/year","  Updated 07 Feb 2023, Added 01 Feb 2023 ", FOR RENT: 2 bedroom Flat / Apartment for rent Ologolo Lekki Lagos.. Read more ,Serviced
Orchid Chevron Lekki Lagos,"3,500,000/year","  Updated 07 Feb 2023, Added 02 Feb 2023 ", FOR RENT: *NOW LETTING* 4 Bedroom Terrace Duplex *Features* - Chandelier - Pop.. Read more ,ServicedNewly Built
Surulere Lagos,"1,000,000/year","  Updated 07 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Newly built mini flat bungalow with 2toilet and bath Pop prepaid meter at bankol.. Read more ,
Badore Ajah Lagos,"450,000/year","  Updated 07 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Rent 450k agency 45k agreement 45k caution 30k Gateman upfront salary contri.. Read more ,
Owode Mile 12 Kosofe Ikosi Lagos,"700,000/year","  Updated 07 Feb 2023, Added 23 Jan 2023 "," FOR RENT: Newly Built sparkling, tastefully finished and furnished 2bedroom flat at owode .. Read more ",ServicedNewly Built
Off Randle Avenue Surulere Lagos,"650,000/year","  Updated 07 Feb 2023, Added 19 Jan 2023 ", FOR RENT: 2bedroom flat at off Randie avenue suruler very nice .. Read more ,
Agungi Lekki Lagos,"1,800,000/year","  Updated 07 Feb 2023, Added 01 Feb 2023 ", FOR RENT: 3 bedroom Flat.. Read more ,
Off Fola Osibo Lekki Phase 1 Lekki Lagos,"10,000,000/year","  Updated 07 Feb 2023, Added 09 Jan 2023 ", FOR RENT: FOR RENT BEAUTIFUL DUPLEX FOR RENT WITH BQ AT LEKKI PHASE 1 *4-BEDROOM FULL.. Read more ,
"Sunshine Estate, Paiko Idimu, Off Ejigbo Idimu Egbe Idimu Lagos","800,000/year","  Updated 07 Feb 2023, Added 13 Dec 2022 "," FOR RENT: A very Decent, Standard and Spacious 3 bedroom flat Available at Sunshine Estate.. Read more ",Furnished
Igboefon Igbo Efon Lekki Lagos,"800,000/year","  Updated 07 Feb 2023, Added 02 Feb 2023 ", FOR RENT: * 30 UNITS SELF CONTAIN AVAILABLE FOR RENT AT IGBOEFON RENT: 800K SERVICE CH.. Read more ,Newly Built
Salem Lekki Lagos,"1,400,000/year","  Updated 07 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Very spacious one room and parlor mini flat.. Read more ,
Greenville Estate Agungi Lekki Lagos,"850,000","  Updated 07 Feb 2023, Added 28 Jan 2023 ", FOR RENT: These property comes with a 30k monthly service charge. I hitch covers Nepa bil.. Read more ,Serviced
Opic Estate Isheri North Ojodu Lagos,"3,500,000/year","  Updated 07 Feb 2023, Added 01 Jan 2023 ", FOR RENT: 6 bedroom House for rent Opic Estate Isheri North Ojodu Lagos.. Read more ,Newly Built
Ikota Lekki Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Luxury 4 bedroom semi Detach duplex to let at signature estate ikota Lagos Ren.. Read more ,FurnishedNewly Built
Lekki Lagos,"13,000,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Fully serviced 4 bedroom terrace Description Pop ceiling Swimming Pool .. Read more ,FurnishedNewly Built
Awoyaya Ajah Lagos,"450,000/year","  Updated 07 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Rent 450k Agency 45k Legal 45k Caution 45k.. Read more ,Newly Built
7th Avenue Festac Amuwo Odofin Lagos,"1,700,000/year","  Updated 07 Feb 2023, Added 29 Jan 2023 "," FOR RENT: Newly built and Tastefully finished 2 Bedroom Apartment To Let at 7th Avenue, FE.. Read more ",
Ogudu Lagos,"2,500,000/year","  Updated 07 Feb 2023, Added 18 Jan 2023 "," FOR RENT: To let spacious 2 bedroom flat at ogudu gra, price 2.5m.. Read more ",
Berger Ojodu Lagos,"300,000/year","  Updated 07 Feb 2023, Added 02 Aug 2022 ", FOR RENT: Easy access Tiled Suitable for wide range of usage.. Read more ,
Oke Ira Ogba Lagos,"700,000/year","  Updated 07 Feb 2023, Added 13 Jan 2023 ", FOR RENT: 2 bedroom Flat / Apartment for rent Oke-Ira Ogba Lagos.. Read more ,
Sangotedo Ajah Lagos,"1,600,000/year","  Updated 07 Feb 2023, Added 15 Jan 2023 ", FOR RENT: Newly built 2 bedroom flat At Sangotedo in a very Secured and Gated Estate .. Read more ,Newly Built
Off Randle Avenue Surulere Lagos,"800,000/year","  Updated 07 Feb 2023, Added 19 Jan 2023 ", FOR RENT: Standard 2bedroom flat Randie avenue suruler very nice .. Read more ,
Irepo Street Okeira Oke Ira Ogba Lagos,"350,000/year","  Updated 07 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Comes with a nice new wardrobe with clean tiles. Pay & park in the total package.. Read more ,
Magodo Kosofe Ikosi Lagos,"6,000,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Tastefully finished 6 Bedroom Detached Duplex with BQ To Let at Magodo Phase 1, .. Read more ",
Ikota Gra Ikota Lekki Lagos,"4,000,000/year","  Updated 07 Feb 2023, Added 04 Oct 2022 ", FOR RENT: RENTAL TO LET Lovely 4 Bedroom Semidetached Duplex with 1 bq Features include: .. Read more ,Newly Built
Marwa Off Pinnacle Lekki Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Newly built and Self Serviced 3 Bedroom Apartment To Let @ Marwa, off Pinnacle L.. Read more ",
Calvary Street Council Egbe Idimu Lagos,"750,000/year","  Updated 07 Feb 2023, Added 10 Jan 2023 ", FOR RENT: Standard 2bedrooms flat at Calvary bus stop Ikotun Idimu road lagos. Very nice l.. Read more ,Newly Built
Ago Palace Okota Lagos,"1,300,000/year","  Updated 07 Feb 2023, Added 20 Jan 2023 ", FOR RENT: Rent an Executive 3 Bedroom Flat in Ago Palace Okota very decent house with all .. Read more ,
Phase 1 Magodo Kosofe Ikosi Lagos,"3,000,000/year","  Updated 07 Feb 2023, Added 16 Jan 2023 ", FOR RENT: Four bedroom semi-detached duplex with room b q in unilag Estate magodo phase 1.. Read more ,
Opebi Ikeja Lagos,"5,000,000/year","  Updated 07 Feb 2023, Added 13 Jan 2023 ", FOR RENT: Ground floor OpenSpace Size:100m2 Rent:#5m per annum. Location: Opebi Rd.. Read more ,
Sangotedo Ajah Lagos,"1,200,000/year","  Updated 07 Feb 2023, Added 27 Jan 2023 ", FOR RENT: TO LET BRAND NEW 2 BEDROOM FLAT ENSUITE UPSTAIRS 3 TOILETS WATER HEATER W.. Read more ,Newly Built
Lin Vgc Lekki Lagos,"4,000,000/year","  Updated 07 Feb 2023, Added 26 Dec 2022 ", FOR RENT: Location: Lekki epe expressway by vgc 4bed semidetached Fitted kitchen Fam.. Read more ,Newly Built
Omole Phase 2 Ojodu Lagos,"1,500,000/year","  Updated 07 Feb 2023, Added 09 Nov 2022 "," FOR RENT: To let: Standard 2 bedroom flat with pop, wall screeding, all room ensuit groun.. Read more ",
Chevron Lekki Lagos,"4,500,000/year","  Updated 07 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Newly built 4 bedroom duplex with a bq Rent 4,500,500 Legal 10% Agency 10% C.. Read more ",
