Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Banana Island Ikoyi Lagos,"13,000,000/year","  Updated 03 Feb 2023, Added 19 Jul 2022 ", FOR RENT: Luxury furnished 2 bedroom apartments in banana island Facilities include: .. Read more ,,0 beds0 baths0 Toilets
Mojisola Onikoyi Estate Ikoyi Lagos,"18,000,000/year","  Updated 03 Feb 2023, Added 22 Dec 2022 ", FOR RENT: Lovely 5bed terrace duplex in ikoyi N18m.. Read more ,Newly Built,5 beds0 baths0 Toilets
Off Admiralty Road Lekki Lagos,"3,000,000/year","  Updated 03 Feb 2023, Added 27 Jan 2023 ", FOR RENT: *LOVELY 2 BEDROOM APT AVAILABLE TO LET GROUND FLOOR (serviced) LOCATION: in L.. Read more ,,2 beds3 baths3 Toilets
Alagomeji Yaba Lagos,"2,780,000/year","  Updated 03 Feb 2023, Added 07 Jan 2023 "," FOR RENT: An office space around alagomeji 135sqmt open space, serviced.. Rent: .. Read more ",,0 beds0 baths0 Toilets
Ever Care Hospital Lekki Phase 1 Lekki Lagos,"110,000/sqm","  Updated 03 Feb 2023, Added 22 Aug 2022 ", FOR RENT: Sweet and very beautiful shop and office space available close to Ever Care hosp.. Read more ,Serviced,0 beds2 baths2 Toilets
Ado Road Ado Ajah Lagos,"800,000/year","  Updated 03 Feb 2023, Added 11 Dec 2022 ", FOR RENT: Lovely mini flat in a beautiful compound in a secured Estate with constant light.. Read more ,Serviced,0 beds0 baths0 Toilets
Shomolu Lagos,"1,100,000/year","  Updated 03 Feb 2023, Added 17 Jan 2023 ", FOR RENT: *LETTING MINI 2-BEDROOM FLAT AT SOJI OSHODI STR. FAMOUS BUS STOP PEDRO. AL.. Read more ,,2 beds0 baths0 Toilets
Pako Axis Akoka Yaba Lagos,"1,500,000/year","  Updated 03 Feb 2023, Added 23 Jan 2023 "," FOR RENT: STANDARD TWO BEDROOM AT AKOKA OLAREWAJU STREET,OFF PAKO BUS STOP,WITH ALL ROOMS .. Read more ",,2 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"9,000,000/year","  Updated 03 Feb 2023, Added 11 Jan 2023 ", FOR RENT: TO LET!!! Furnished 3-bedroom all en-suite flat on 3floors. An attached ante-.. Read more ,FurnishedServiced,3 beds0 baths0 Toilets
Abule Ijesha Yaba Lagos,"500,000/year","  Updated 03 Feb 2023, Added 18 Jan 2023 "," FOR RENT: STANDARD ROOM SELF CONTAIN AT YABA LAGOS STATE WITH POP, SCREEDED WALL, CAR PARK.. Read more ",,0 beds0 baths0 Toilets
Western Avenue Surulere Lagos,"3,500,000/year","  Updated 03 Feb 2023, Added 13 Jan 2023 "," FOR RENT: To let: 5 bedrooms Terrace on 2 floors within Collindale Estate, Iyun Street .. Read more ",,5 beds0 baths0 Toilets
Omole Phase 1 Ojodu Lagos,"1,700,000/year","  Updated 03 Feb 2023, Added 26 Jul 2022 "," FOR RENT: Lovely spacious renovated 3bedroom flat, All room ensulte Upstairs Price:1.7.. Read more ",,0 beds0 baths0 Toilets
Ago Palace Okota Lagos,"1,900,000/year","  Updated 03 Feb 2023, Added 30 Jun 2022 ", FOR RENT: LETTING Machine 3bedroom at greenfield estate. Just 4 tenants Upstairs POP.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"20,000,000/year","  Updated 03 Feb 2023, Added 27 Dec 2022 ", FOR RENT: TO LET AT LEKKI PHASE 1 Newly built 5-bedroom semi Detached Duplex with fitte.. Read more ,Newly Built,5 beds0 baths0 Toilets
Ado Ajah Lagos,"700,000/year","  Updated 03 Feb 2023, Added 12 Jan 2023 "," FOR RENT: Clean, sharp, interlocked, and fenced compound. The apartment features lovely fr.. Read more ",,2 beds2 baths2 Toilets
Phase 2 Gbagada Lagos,"3,000,000/year","  Updated 03 Feb 2023, Added 02 Feb 2023 ", FOR RENT: * Currently Still available* Most go this week.. *Inspections 10am today Tue.. Read more ,,3 beds0 baths0 Toilets
Victoria Island Lagos,"10,000,000/year","  Updated 03 Feb 2023, Added 26 Sep 2022 ", FOR RENT: TO LET/LEASE AVAILABLE 2-bedroom fully furnished and serviced flat off Adeol.. Read more ,FurnishedServiced,0 beds0 baths0 Toilets
Directly On Opebi Rd Opebi Ikeja Lagos,"4,000,000/year","  Updated 03 Feb 2023, Added 29 Sep 2022 ", FOR RENT: TO LET: Open Space for Office & (others kind of Commerical use. *(128SQM)* .. Read more ,, beds1 baths1 Toilets
Ikate Lekki Lagos,"3,500,000/year","  Updated 03 Feb 2023, Added 26 Jan 2023 ", FOR RENT: Description: Newly built luxury 2 bedrooms apartment with a very large living.. Read more ,ServicedNewly Built,2 beds0 baths0 Toilets
Mende Maryland Lagos,"5,000,000/year","  Updated 03 Feb 2023, Added 25 Jan 2023 ", FOR RENT: Newly built and lovely 4 bedroom terrace with a room bq in green land estate Men.. Read more ,,4 beds0 baths0 Toilets
Victoria Island Lagos,"7,000,000/year","  Updated 03 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Victoria Island Furnished 3 bedroom Rent - 7M Sc - 3.5M Diesel & power - 5.5.. Read more ,FurnishedServicedNewly Built,3 beds0 baths0 Toilets
"Facing Directly On Bank Anthony Way, I Mobolaji Bank Anthony Way Ikeja Lagos","7,000,000/year","  Updated 03 Feb 2023, Added 20 Nov 2022 ", FOR RENT: AVAILABLE FOR LEASE A PLOT OF LAND ABOUT 700M² FENCED DIRECTLY ON BANK ANTHO.. Read more ,,0 beds0 baths0 Toilets
Off Admiralty Way Lekki Phase 1 Lekki Lagos,"13,000,000/year","  Updated 03 Feb 2023, Added 17 May 2022 ", FOR RENT: 5 bedroom semi-detached duplex with 2 room bq Location good for both Residentia.. Read more ,,0 beds0 baths0 Toilets
Banana Island Ikoyi Lagos,"13,000,000/year","  Updated 03 Feb 2023, Added 26 Jan 2023 ", FOR RENT: *2 Bedroom Furnished Apartments with a waterfront Pool and Gym Amenities:- Fu.. Read more ,FurnishedServicedNewly Built,2 beds0 baths0 Toilets
Okota Lagos,"1,000,000/year","  Updated 03 Feb 2023, Added 20 Jun 2022 ", FOR RENT: Renovated 2 Bedroom Apartment upstairs All Rooms En Suit Cannal Estate 1m.. Read more ,,0 beds0 baths0 Toilets
